0	n u l
01	n u l aI n s
1	aI n s
1,2	aI n s k o m a ts v aI
1,26	aI n s k o m a ts v aI z e k z
1,26	aI n s k o m a z e k z u n ts v a n ts i k
1,3	aI n s k o m a d r aI
1,3mal	aI n s k o m a d r aI
1,4	aI n s k o m a f il r
1,5	aI n s k o m a f ue n f
1,6	aI n s k o m a z e k z
1,7	aI n s k o m a z il b etu n
1,8	aI n s k o m a a x t
1,9	aI n s k o m a n eU n
1.	el r s t etu
1.	el r s t etu m
1.	el r s t etu n
1.	el r s t etu r
1.	el r s t etu s
10	ts el n
10.	ts el n t etu
10.	ts el n t etu m
10.	ts el n t etu n
10.	ts el n t etu r
10.	ts el n t etu s
1000	aI n t aU z etu n d
10000	ts el n t aU z etu n d
100000	aI n h u n d atu t aU z etu n d
100000	h u n d atu t aU z etu n d
101	aI n h u n d atu t aI n s
101	aI n h u n d atu t u n aI n s
101	h u n d atu t aI n s
101	h u n d atu t u n aI n s
10811480	ts el n m i l j ol n etu n a x t h u n d atu t e l f t aU z etu n d f il r h u n d atu t a x ts i k
10811480	ts el n m i l j ol n etu n a x t h u n d atu t e l f t aU z etu n d f il r h u n d atu t u n a x ts i k
10811480	ts el n m i l j ol n etu n a x t h u n d atu t u n e l f t aU z etu n d f il r h u n d atu t a x ts i k
10811480	ts el n m i l j ol n etu n a x t h u n d atu t u n e l f t aU z etu n d f il r h u n d atu t u n a x ts i k
11,5	e l f k o m a f ue n f
11,6	e l f k o m a z e k z
11.	e l f t etu
11.	e l f t etu m
11.	e l f t etu n
11.	e l f t etu r
11.	e l f t etu s
110	aI n h u n d atu t ts el n
110	aI n h u n d atu t u n ts el n
110	h u n d atu t ts el n
110	h u n d atu t u n ts el n
111	aI n h u n d atu t e l f
111	aI n h u n d atu t u n e l f
111	h u n d atu t e l f
111	h u n d atu t u n e l f
113	aI n h u n d atu t d r aI ts el n
113	aI n h u n d atu t u n d r aI ts el n
113	h u n d atu t d r aI ts el n
113	h u n d atu t u n d r aI ts el n
11500	e l f t aU z etu n d f ue n f h u n d atu t
119	aI n h u n d atu t n eU n ts el n
119	aI n h u n d atu t u n n eU n ts el n
119	h u n d atu t n eU n ts el n
119	h u n d atu t u n n eU n ts el n
119000	aI n h u n d atu t n eU n ts el n t aU z etu n d
119000	aI n h u n d atu t u n n eU n ts el n t aU z etu n d
119000	h u n d atu t n eU n ts el n t aU z etu n d
119000	h u n d atu t u n n eU n ts el n t aU z etu n d
12	ts v oe l f
12,8	ts v oe l f k o m a a x t
12.	ts v oe l f t etu
12.	ts v oe l f t etu m
12.	ts v oe l f t etu n
12.	ts v oe l f t etu r
12.	ts v oe l f t etu s
122	aI n h u n d atu t ts v aI u n ts v a n ts i k
122	aI n h u n d atu t u n ts v aI u n ts v a n ts i k
122	h u n d atu t ts v aI u n ts v a n ts i k
122	h u n d atu t u n ts v aI u n ts v a n ts i k
124	aI n h u n d atu t f il r u n ts v a n ts i k
124	aI n h u n d atu t u n f il r u n ts v a n ts i k
124	h u n d atu t f il r u n ts v a n ts i k
124	h u n d atu t u n f il r u n ts v a n ts i k
126800	aI n h u n d atu t u n z e k z u n ts v a n ts i k t aU z etu n d a x t h u n d atu t
126800	aI n h u n d atu t z e k z u n ts v a n ts i k t aU z etu n d a x t h u n d atu t
126800	h u n d atu t u n z e k z u n ts v a n ts i k t aU z etu n d a x t h u n d atu t
126800	h u n d atu t z e k z u n ts v a n ts i k t aU z etu n d a x t h u n d atu t
128	aI n h u n d atu t a x t u n ts v a n ts i k
128	aI n h u n d atu t u n a x t u n ts v a n ts i k
128	h u n d atu t a x t u n ts v a n ts i k
128	h u n d atu t u n a x t u n ts v a n ts i k
13	d r aI ts el n
13,2	d r aI ts el n k o m a ts v aI
13.	d r aI ts el n t etu
13.	d r aI ts el n t etu m
13.	d r aI ts el n t etu n
13.	d r aI ts el n t etu r
