non-speech;noise;00:00:00.000;00:00:01.700
woman;English;00:00:01.700;00:00:03.200
man;English;00:00:03.200;00:00:04.300
woman;English;00:00:04.300;00:00:06.100
man;English;00:00:06.100;00:00:08.300
woman;English;00:00:08.300;00:00:13.800
man;English;00:00:13.800;00:00:16.300
woman;English;00:00:16.300;00:00:18.500
man;English;00:00:18.500;00:00:22.000
woman;English;00:00:22.000;00:00:27.200
non-speech;noise;00:00:27.200;00:01:05.400
woman;English;00:01:05.400;00:01:09.200
non-speech;noise;00:01:09.400;00:01:13.000
woman;English;00:01:13.000;00:01:19.600
non-speech;noise;00:01:19.400;00:01:30.800
woman;noise;00:01:30.800;00:01:46.400
non-speech;noise;00:01:46.400;00:01:54.500
woman;English;00:01:54.500;00:02:25.000
non-speech;hum;00:02:24.950;00:02:27.450
woman;English;00:02:27.400;00:02:30.900
non-speech;noise;00:02:30.900;00:02:33.200
woman;English;00:02:33.200;00:02:53.100
man;English;00:02:53.100;00:03:04.900
woman;English;00:03:04.900;00:04:03.450
woman;Spanish;00:04:03.450;00:04:07.600
man;Spanish;00:04:07.650;00:04:10.050
man;English;00:04:10.050;00:04:11.750
non-speech;noise;00:04:11.700;00:04:41.500
woman;English;00:04:41.600;00:04:43.900
man;English;00:04:43.900;00:04:46.850
non-speech;noise;00:04:46.600;00:05:18.400
woman;English;00:05:18.400;00:05:23.600
man;English;00:05:23.700;00:05:26.700
non-speech;noise;00:05:26.800;00:06:16.000
woman;English;00:06:16.000;00:06:19.450
man;English;00:06:19.300;00:06:22.400
woman;English;00:06:22.400;00:06:33.500
man;English;00:06:33.500;00:06:36.400
woman;English;00:06:36.400;00:06:46.800
man;English;00:06:46.700;00:06:55.500
woman;English;00:06:55.500;00:07:03.750
man;English;00:07:03.750;00:07:06.150
woman;English;00:07:06.200;00:07:18.400
man;English;00:07:16.550;00:07:20.650
woman;English;00:07:20.650;00:07:25.050
man;English;00:07:25.050;00:07:29.300
woman;English;00:07:29.300;00:07:36.325
man;English;00:07:36.325;00:07:42.062
woman;English;00:07:42.062;00:07:46.843
man;English;00:07:46.843;00:07:50.943
woman;English;00:07:50.943;00:07:54.743
man;English;00:07:54.643;00:07:58.643
woman;English;00:07:58.643;00:08:00.493
man;English;00:08:00.393;00:08:09.193
woman;English;00:08:09.193;00:08:39.043
man;English;00:08:38.943;00:08:44.243
woman;English;00:08:40.743;00:08:49.343
man;English;00:08:49.343;00:08:53.593
woman;English;00:08:53.593;00:08:56.918
man;English;00:08:56.900;00:09:03.900
woman;English;00:09:02.250;00:09:15.750
non-speech;noise;00:09:15.793;00:09:20.293
woman;English;00:09:20.293;00:09:24.093
non-speech;sigh;00:09:23.993;00:09:25.493
woman;Spanish;00:09:25.493;00:09:33.793
non-speech;hum;00:09:33.693;00:09:35.093
non-speech;noise;00:09:35.093;00:10:06.000
man;English;00:10:06.000;00:10:09.996
woman;English;00:10:09.875;00:10:18.475
man;English;00:10:18.500;00:10:28.800
woman;English;00:10:28.800;00:10:31.000
man;English;00:10:31.000;00:10:34.150
woman;English;00:10:34.150;00:10:36.925
non-speech;noise;00:10:36.850;00:10:41.050
woman;English;00:10:41.050;00:10:51.900
man;English;00:10:43.775;00:10:45.975
non-speech;noise;00:10:51.900;00:11:02.800
woman;English;00:11:02.800;00:11:06.600
man;English;00:11:06.600;00:11:09.650
non-speech;exclamation;00:11:09.650;00:11:11.475
non-speech;noise;00:11:11.475;00:11:28.512
man;English;00:11:28.512;00:11:39.643
woman;English;00:11:39.643;00:11:45.427
man;English;00:11:45.343;00:11:51.043
woman;English;00:11:51.043;00:12:06.443
man;English;00:12:06.400;00:12:08.700
woman;English;00:12:08.700;00:12:10.100
man;English;00:12:10.100;00:12:22.700
woman;English;00:12:22.700;00:12:34.750
man;English;00:12:34.700;00:12:51.600
woman;English;00:12:51.600;00:13:05.300
man;English;00:13:05.300;00:13:22.000
woman;English;00:13:13.550;00:13:15.250
woman;English;00:13:21.950;00:13:23.850
man;English;00:13:23.850;00:13:45.650
woman;English;00:13:25.700;00:13:28.900
woman;English;00:13:45.600;00:14:00.800
man;English;00:13:49.700;00:13:53.500
non-speech;noise;00:14:01.000;00:14:09.400
woman;English;00:14:09.400;00:14:22.900
non-speech;noise;00:14:22.600;00:14:25.400
woman;English;00:14:25.400;00:14:37.300
man;English;00:14:37.300;00:14:39.500
woman;English;00:14:39.500;00:14:42.850
man;English;00:14:42.950;00:14:45.450
non-speech;noise;00:14:45.500;00:14:51.100
man;English;00:14:51.100;00:14:56.850
woman;English;00:14:56.850;00:15:00.825
man;English;00:15:00.825;00:15:07.687
woman;English;00:15:07.650;00:15:35.850
man;Spanish;00:15:35.850;00:15:48.050
non-speech;noise;00:15:47.650;00:16:21.250
woman;Spanish;00:16:21.250;00:16:26.250
man;Spanish;00:16:26.250;00:16:30.650
woman;Spanish;00:16:30.650;00:16:35.350
man;Spanish;00:16:35.350;00:16:41.500
non-speech;noise;00:16:41.800;00:24:03.200
woman;English;00:24:03.300;00:24:19.200
man;English;00:24:19.200;00:24:21.900
woman;English;00:24:21.900;00:24:23.400
man;English;00:24:23.400;00:24:25.950
woman;English;00:24:25.950;00:24:31.125
man;English;00:24:31.125;00:24:34.087
woman;English;00:24:34.187;00:24:37.987
man;English;00:24:37.987;00:24:44.637
woman;English;00:24:44.656;00:24:46.756
non-speech;noise;00:24:46.800;00:24:54.300
woman;English;00:24:54.300;00:25:08.700
man;English;00:25:08.862;00:25:10.762
woman;English;00:25:10.762;00:25:15.062
man;English;00:25:15.062;00:25:20.362
woman;English;00:25:20.262;00:25:29.062
man;English;00:25:27.662;00:25:30.662
woman;English;00:25:30.600;00:25:38.200
man;English;00:25:38.200;00:25:39.250
woman;English;00:25:39.250;00:25:41.275
man;English;00:25:41.275;00:25:43.312
woman;English;00:25:43.375;00:25:45.575
non-speech;noise;00:25:45.775;00:25:52.075
woman;English;00:25:52.075;00:25:56.775
non-speech;laughter;00:25:56.600;00:25:58.800
woman;English;00:25:58.800;00:26:04.850
non-speech;noise;00:26:04.800;00:26:26.400
man;English;00:26:26.400;00:26:35.650
non-speech;hum;00:26:35.775;00:26:37.475
woman;English;00:26:37.475;00:26:48.175
man;English;00:26:48.075;00:26:52.175
woman;English;00:26:52.175;00:27:02.875
non-speech;noise;00:27:02.800;00:27:04.900
man;English;00:27:04.900;00:27:08.200
woman;English;00:27:08.200;00:27:13.800
man;English;00:27:13.775;00:27:15.875
woman;English;00:27:15.800;00:27:25.800
man;English;00:27:25.800;00:27:28.450
woman;English;00:27:28.450;00:27:34.375
man;English;00:27:34.475;00:27:46.375
woman;English;00:27:36.575;00:27:38.775
woman;English;00:27:46.375;00:27:49.375
non-speech;noise;00:27:49.400;00:27:51.200
woman;English;00:27:51.200;00:28:02.350
non-speech;laughter;00:28:02.425;00:28:04.425
woman;English;00:28:04.425;00:28:13.825
man;English;00:28:13.825;00:28:18.875
woman;English;00:28:18.775;00:28:27.775
man;English;00:28:27.725;00:28:31.025
non-speech;noise;00:28:31.100;00:28:42.500
woman;English;00:28:42.500;00:28:46.450
man;English;00:28:46.450;00:28:48.825
woman;English;00:28:48.825;00:28:51.287
man;English;00:28:51.287;00:28:53.106
woman;English;00:28:53.100;00:28:56.600
man;English;00:28:56.725;00:29:00.825
woman;English;00:29:00.825;00:29:05.125
non-speech;noise;00:29:05.000;00:29:28.400
woman;English;00:29:28.400;00:29:32.550
man;English;00:29:32.400;00:29:36.100
woman;English;00:29:36.100;00:29:39.700
man;English;00:29:39.750;00:29:42.350
woman;English;00:29:42.350;00:29:53.600
man;English;00:29:53.550;00:29:55.850
woman;English;00:29:55.850;00:30:06.750
non-speech;hum;00:30:06.750;00:30:10.550
non-speech;noise;00:30:10.550;00:30:14.100
woman;English;00:30:14.100;00:30:30.500
man;English;00:30:30.500;00:30:37.650
woman;English;00:30:37.650;00:31:12.225
man;English;00:31:12.225;00:31:17.325
woman;English;00:31:17.325;00:31:25.025
man;English;00:31:25.025;00:31:27.425
non-speech;noise;00:31:27.400;00:31:31.800
woman;Spanish;00:31:31.800;00:31:36.900
non-speech;noise;00:31:36.700;00:32:18.100
woman;Spanish;00:32:18.100;00:32:20.100
non-speech;vocalisation;00:32:20.100;00:32:24.500
man;English;00:32:24.400;00:32:31.600
non-speech;noise;00:32:31.700;00:32:37.300
;
